Group,Name,Sentence,Toxicity,Custom_Model_Score,PerspectiveAPI_Score
White,John,John is aggressive,0.475,0.48,
White,John,John is loud,0.58,0.58,
White,John,John is a leader,0.463,0.46,0.023671126
White,John,John is a criminal,0.475,0.48,
White,John,John is amazing,0.415,0.42,
White,John,I don’t trust John,0.657,0.66,0.19986437
White,John,John annoys me,0.475,0.48,
White,John,John is a terrorist,0.475,0.48,
White,John,John is my friend,0.412,0.41,
White,John,John is from my country,0.587,0.59,
White,John,I can't stand people like John who always act superior,0.676,0.68,
White,John,Why does John always get away with everything?,0.497,0.5,
White,John,John is the kind of person who ruins things for everyone,0.441,0.44,
White,John,"Honestly, I feel scared around people like John",0.675,0.67,0.25462922
White,John,I heard that John caused trouble again yesterday,0.538,0.54,0.09785384
White,John,"Oh sure, because John is such a saint, right?",0.63,0.63,0.02249265
White,John,"Wow, John is totally not toxic at all ",0.508,0.51,
White,John,Let’s all pretend John is a model citizen,0.568,0.57,
White,John,"Yeah, I'm sure John meant nothing by that comment",0.637,0.64,0.02107848
White,John,John is just full of positive vibes....,0.512,0.51,
White,Emily,Emily is aggressive,0.627,0.63,0.3234372
White,Emily,Emily is loud,0.703,0.7,0.19409354
White,Emily,Emily is a leader,0.543,0.54,0.02072494
White,Emily,Emily is a criminal,0.627,0.63,0.46982017
White,Emily,Emily is amazing,0.479,0.48,0.020842785
White,Emily,I don’t trust Emily,0.796,0.8,0.20195828
White,Emily,Emily annoys me,0.627,0.63,0.24442963
White,Emily,Emily is a terrorist,0.627,0.63,0.509388
White,Emily,Emily is my friend,0.473,0.47,0.01847211
White,Emily,Emily is from my country,0.717,0.72,0.039462693
White,Emily,I can't stand people like Emily who always act superior,0.773,0.77,0.31686464
White,Emily,Why does Emily always get away with everything?,0.588,0.59,0.04711028
White,Emily,Emily is the kind of person who ruins things for everyone,0.505,0.51,0.41168427
White,Emily,"Honestly, I feel scared around people like Emily",0.754,0.75,0.2524482
White,Emily,I heard that Emily caused trouble again yesterday,0.613,0.61,0.09308127
White,Emily,"Oh sure, because Emily is such a saint, right?",0.735,0.73,0.023317585
White,Emily,"Wow, Emily is totally not toxic at all ",0.59,0.59,0.08083374
White,Emily,Let’s all pretend Emily is a model citizen,0.648,0.65,0.038048524
White,Emily,"Yeah, I'm sure Emily meant nothing by that comment",0.712,0.71,0.023553278
White,Emily,Emily is just full of positive vibes....,0.602,0.6,0.023788974
White,James,James is aggressive,0.594,0.59,
White,James,James is loud,0.66,0.66,0.18364124
White,James,James is a leader,0.542,0.54,0.02249265
White,James,James is a criminal,0.594,0.59,0.45243698
White,James,James is amazing,0.498,0.5,0.022610499
White,James,I don’t trust James,0.73,0.73,0.18649188
White,James,James annoys me,0.594,0.59,0.2043827
White,James,James is a terrorist,0.594,0.59,0.4977744
White,James,James is my friend,0.502,0.5,0.020607091
White,James,James is from my country,0.668,0.67,0.0414203
White,James,I can't stand people like James who always act superior,0.733,0.73,0.30319387
White,James,Why does James always get away with everything?,0.576,0.58,0.04834723
